brand,product_name,product_type,price,rating_stars,rating_count,image_url
Abba,Pure Color Protection Shampoo,Shampoo & Conditioner,$38.00,3.2 ,6,https://images.ulta.com/is/image/Ulta/2524826
Abba,Pure Gentle Conditioner,Shampoo & Conditioner,$40.00,4.4 ,7,https://images.ulta.com/is/image/Ulta/2522498
Abba,Pure Gentle Shampoo,Shampoo & Conditioner,$38.00,5.0 ,2,https://images.ulta.com/is/image/Ulta/2524825
Abba,Pure Color Protection Conditioner,Shampoo & Conditioner,$40.00,5.0 ,1,https://images.ulta.com/is/image/Ulta/2522488
Abba,Pure Volume Shampoo,Shampoo & Conditioner,$38.00,3.3 ,4,https://images.ulta.com/is/image/Ulta/2522492
Abba,Pure Moisture Shampoo,Shampoo & Conditioner,$18.95,4.0 ,3,https://images.ulta.com/is/image/Ulta/2522478
Abba,Pure Volume Foam,Styling Products,$22.00,3.0 ,1,https://images.ulta.com/is/image/Ulta/2522499
Abba,Pure Volume Conditioner,Shampoo & Conditioner,$40.00,5.0 ,1,https://images.ulta.com/is/image/Ulta/2522495
AG Hair,Colour Care Colour Savour Sulfate-Free Shampoo,Shampoo & Conditioner,$58.00,4.3 ,387,https://images.ulta.com/is/image/Ulta/2290215
AG Hair,Colour Care Colour Savour Colour Protection Conditioner,Shampoo & Conditioner,$58.00,4.5 ,227,https://images.ulta.com/is/image/Ulta/2290219
AG Hair,Liter Pump,Shampoo & Conditioner,$3.00,3.7 ,2830,https://images.ulta.com/is/image/Ulta/2237618
AG Hair,Moisture Fast Food Leave-On Conditioner,Shampoo & Conditioner,$58.00,4.6 ,318,https://images.ulta.com/is/image/Ulta/2290348
AG Hair,Keratin Repair Restore Daily Strengthening Conditioner,Shampoo & Conditioner,$58.00,4.3 ,71,https://images.ulta.com/is/image/Ulta/2290240
AG Hair,Smooth Smoooth Sulfate-Free Argan & Coconut Shampoo,Shampoo & Conditioner,$58.00,4.3 ,113,https://images.ulta.com/is/image/Ulta/2290346
AG Hair,Keratin Repair Refuel Sulfate-Free Strengthening Shampoo,Shampoo & Conditioner,$58.00,4.5 ,77,https://images.ulta.com/is/image/Ulta/2290247
AG Hair,Curl Re:Coil Curl Activator,Styling Products,$22.00,4.4 ,318,https://images.ulta.com/is/image/Ulta/2290225
AG Hair,Sleeek Argan & Coconut Conditioner,Shampoo & Conditioner,$58.00,4.2 ,115,https://images.ulta.com/is/image/Ulta/2290237
AG Hair,Colour Care Sterling Silver Toning Shampoo,Shampoo & Conditioner,$48.00,4.3 ,427,https://images.ulta.com/is/image/Ulta/2290217
AG Hair,Colour Care Sterling Silver Toning Conditioner,Shampoo & Conditioner,$48.00,4.4 ,183,https://images.ulta.com/is/image/Ulta/2290221
AG Hair,Keratin Repair Reconstruct Intense Anti-Breakage Mask,Treatment,$34.00,4.6 ,49,https://images.ulta.com/is/image/Ulta/2290297
AG Hair,Smooth Firewall Argan Shine & Flat Iron Spray,Styling Products,$26.00,4.5 ,160,https://images.ulta.com/is/image/Ulta/2290234
AG Hair,Natural Boost Apple Cider Vinegar Conditioner,Shampoo & Conditioner,$65.00,4.3 ,21,https://images.ulta.com/is/image/Ulta/2522571
AG Hair,Natural Balance Apple Cider Vinegar Sulfate-Free Shampoo,Shampoo & Conditioner,$65.00,4.2 ,48,https://images.ulta.com/is/image/Ulta/2522572
AG Hair,Tousled Texture,Styling Products,$26.00,4.5 ,59,https://images.ulta.com/is/image/Ulta/2501714
AG Hair,Moisture Fast Food Sulfate-Free Shampoo,Shampoo & Conditioner,$58.00,4.4 ,84,https://images.ulta.com/is/image/Ulta/2290243
AG Hair,Curl Thrive Hydrating Conditioner,Shampoo & Conditioner,$58.00,4.0 ,4,https://images.ulta.com/is/image/Ulta/2526343
AG Hair,Volume Thikk Wash Volumizing Shampoo,Shampoo & Conditioner,$48.00,4.2 ,171,https://images.ulta.com/is/image/Ulta/2289478
AG Hair,Curl Revive Sulfate-Free Hydrating Shampoo,Shampoo & Conditioner,$58.00,3.7 ,3,https://images.ulta.com/is/image/Ulta/2526345
AG Hair,Travel Size Dry Wax,Styling Products,$9.95,3.9 ,69,https://images.ulta.com/is/image/Ulta/2300026
AG Hair,Volume Thikk Rinse Volumizing Conditioner,Shampoo & Conditioner,$48.00,4.1 ,81,https://images.ulta.com/is/image/Ulta/2289475
AG Hair,Moisture Ultramoist Moisturizing Conditioner,Shampoo & Conditioner,$48.00,3.7 ,142,https://images.ulta.com/is/image/Ulta/2290250
AG Hair,Travel Size Smooth Firewall Argan Shine & Flat Iron Spray,Styling Products,$9.95,4.4 ,57,https://images.ulta.com/is/image/Ulta/2290233
AG Hair,Keratin Repair Repair Serum Keratin Anti-Breakage Sealant,Treatment,$25.00,4.7 ,51,https://images.ulta.com/is/image/Ulta/2290238
AG Hair,Volume Bigwigg Root Volumizer,Styling Products,$24.00,4.4 ,133,https://images.ulta.com/is/image/Ulta/2289481
AG Hair,Moisture Conditioning Mist Detangling Spray,Treatment,$26.00,4.6 ,66,https://images.ulta.com/is/image/Ulta/2290239
AG Hair,Cleansing Cream,Shampoo & Conditioner,$24.00,4.3 ,47,https://images.ulta.com/is/image/Ulta/2300023
AG Hair,Brunette Dry Shampoo,Shampoo & Conditioner,$28.00,4.3 ,32,https://images.ulta.com/is/image/Ulta/2282629
AG Hair,Curl Beach Bomb Tousled Texture,Styling Products,$24.00,4.2 ,90,https://images.ulta.com/is/image/Ulta/2290226
AG Hair,Moisture Xtramoist Moisturizing Shampoo,Shampoo & Conditioner,$48.00,4.0 ,97,https://images.ulta.com/is/image/Ulta/2290248
AG Hair,Smooth Frizzproof Argan Anti-Humidity Finishing Spray,Styling Products,$26.00,4.3 ,44,https://images.ulta.com/is/image/Ulta/2290235
AG Hair,Colour Care Ultradynamics Extra-Firm Finishing Spray,Styling Products,$24.00,4.7 ,99,https://images.ulta.com/is/image/Ulta/2290213
AG Hair,Remedy Spray,Styling Products,$26.00,4.6 ,20,https://images.ulta.com/is/image/Ulta/2509855
AG Hair,Curl Curl Trigger Curl Defining Spray,Styling Products,$22.00,3.9 ,55,https://images.ulta.com/is/image/Ulta/2290223
AG Hair,Therapy Tech Two Protein-Enriched Shampoo,Shampoo & Conditioner,$48.00,4.5 ,75,https://images.ulta.com/is/image/Ulta/2290242
AG Hair,Colour Care Deflect Fast-Dry Heat Protection,Styling Products,$24.00,4.3 ,25,https://images.ulta.com/is/image/Ulta/2290214
AG Hair,Natural Glow Shine Infuse Serum,Treatment,$28.00,5.0 ,5,https://images.ulta.com/is/image/Ulta/2533556
AG Hair,The Oil Extra Virgin Argan Miracle Soothing Oil,Treatment,$20.00,4.4 ,242,https://images.ulta.com/is/image/Ulta/2237598
AG Hair,Travel Size Colour Care Colour Savour Sulfate-Free Shampoo,Shampoo & Conditioner,$8.95,4.3 ,55,https://images.ulta.com/is/image/Ulta/2290436
AG Hair,Colour Care BB Cream Total Benefit Hair Primer,Styling Products,$26.00,4.5 ,38,https://images.ulta.com/is/image/Ulta/2290245
AG Hair,Dry Lift,Styling Products,$24.00,4.0 ,20,https://images.ulta.com/is/image/Ulta/2509852
AG Hair,Natural Cloud Volumizing Mousse,Styling Products,$26.00,4.4 ,9,https://images.ulta.com/is/image/Ulta/2526344
AG Hair,Tousled Texture To Go Kit,Hair Gifts,$29.95,4.1 ,8,https://images.ulta.com/is/image/Ulta/2504160
AG Hair,Dry Wax,Styling Products,$28.00,4.3 ,37,https://images.ulta.com/is/image/Ulta/2300027
AG Hair,Travel Size Colour Care Colour Savour Colour Protection Conditioner,Shampoo & Conditioner,$8.95,3.9 ,25,https://images.ulta.com/is/image/Ulta/2290435
AG Hair,Sea Spray,Styling Products,$24.00,4.2 ,47,https://images.ulta.com/is/image/Ulta/2300024
AG Hair,Therapy Conditioner Light Protein-Enriched Conditioner,Shampoo & Conditioner,$48.00,3.8 ,55,https://images.ulta.com/is/image/Ulta/2290352
AG Hair,Volume Thikkening Lotion For Fine To Very Fine Hair,Styling Products,$24.00,4.1 ,32,https://images.ulta.com/is/image/Ulta/2289479
AG Hair,Travel Size Colour Care Sterling Silver Toning Shampoo,Shampoo & Conditioner,$8.95,4.2 ,19,https://images.ulta.com/is/image/Ulta/2505909
AG Hair,Natural Healthy Hair Starter Kit,Hair Gifts,$34.95,4.0 ,16,https://images.ulta.com/is/image/Ulta/2509850
AG Hair,Volume Foam Weightless Volumizer,Styling Products,$22.00,4.2 ,89,https://images.ulta.com/is/image/Ulta/2289484
AG Hair,Rosehip Balm,Styling Products,$28.00,4.4 ,13,https://images.ulta.com/is/image/Ulta/2509851
AG Hair,Volume Spray Body Soft-Hold Volumizer,Styling Products,$22.00,4.2 ,25,https://images.ulta.com/is/image/Ulta/2289485
AG Hair,Travel Size Colour Care Ultradynamics Extra-Firm Finishing Spray,Styling Products,$9.95,4.1 ,11,https://images.ulta.com/is/image/Ulta/2290212
AG Hair,Texture Moisture Mask,Treatment,$40.00,3.7 ,10,https://images.ulta.com/is/image/Ulta/2306787
AG Hair,Travel Size Colour Care Sterling Silver Toning Conditioner,Shampoo & Conditioner,$8.95,4.1 ,11,https://images.ulta.com/is/image/Ulta/2505910
AG Hair,Smooth Set It Straight Argan Straightening Lotion,Styling Products,$20.00,3.9 ,59,https://images.ulta.com/is/image/Ulta/2290236
AG Hair,Simply Dry Shampoo,Shampoo & Conditioner,$28.00,3.0 ,41,https://images.ulta.com/is/image/Ulta/2282626
AG Hair,Colour Care Aerodynamics Lightweight Finishing Spray,Styling Products,$24.00,4.1 ,27,https://images.ulta.com/is/image/Ulta/2290210
